,red,green,blue
0,"[array([11023. , 10557. ,  9939.5, 11681. ,  8747. , 17765. , 42074. ,
        9560. ,  8700. , 10232. ,     0. , 10800. , 36771.5, 35969. ,
       11034. , 37434. ,     0. ])]","[array([10755.0, 10518.0, 10404.0, 12510.0, 9807.0, 18134.0, 42695.0,
       10177.0, 9508.0, None, 0.0, 11394.0, 37374.0, 36651.0, 10655.0,
       38076.0, 0.0], dtype=object)]","[array([ 9591. ,  9434. ,  8883. , 10153. ,  8613. , 16883. , 44236. ,
        8956. ,  8392. ,  9158. ,     0. ,  9475. , 38670.5, 38387. ,
        9420. , 39692. ,     0. ])]"
1,"[array([11319. , 10488. , 10160.5, 14298. ,  8804.5, 13579. , 45828. ,
        9924. ,  8607. ,  9224. ,  9519. , 25489. , 33794. ,  9823. ,
       38432. ])]","[array([10912.0, 10497.0, 10212.0, 14608.0, 9835.0, 14056.0, 46458.0,
       10633.0, 9534.0, None, 10061.0, 26074.5, 34424.0, 9852.0, 39196.0],
      dtype=object)]","[array([ 9506. ,  9016. ,  8576. , 13066. ,  8449. , 11617. , 48229. ,
        8934. ,  8372. ,  8462. ,  8538. , 26567. , 35774.5,  8605. ,
       40983. ])]"
2,"[array([11225. , 10368. , 10044.5, 12710. ,  8771. , 13504. , 45613. ,
        9814. ,  8672. , 10623. ,  9858. , 29700.5, 37900.5, 11833. ,
       38186. ])]","[array([10898.0, 10446.0, 10298.0, 13586.0, 9877.0, 14114.5, 46212.0,
       10470.0, 9485.0, None, 10483.0, 30289.0, 38558.0, 11469.5, 38909.0],
      dtype=object)]","[array([ 9680.,  9190.,  8914., 11250.,  8554., 11626., 47909.,  9065.,
        8384.,  9343.,  8986., 31063., 40308.,  9814., 40656.])]"
3,"[array([11050. , 10393. ,  9801. , 12017. ,  8704. , 17052. , 44371. ,
        9684. ,  8785. , 10923. ,     0. , 10306. , 31739.5, 37355. ,
       14331.5, 38023. ])]","[array([10756.0, 10462.0, 10318.0, 13107.5, 9796.0, 17436.0, 44953.0,
       10289.0, 9638.0, None, 0.0, 10870.0, 32341.5, 38040.0, 14131.0,
       38724.0], dtype=object)]","[array([ 9604. ,  9308. ,  8825. , 10360. ,  8562. , 15909. , 46584. ,
        9011. ,  8396. ,  9557. ,     0. ,  9228. , 33224.5, 39827. ,
       12228.5, 40433. ])]"
4,"[array([11095. , 10205. ,  9231. , 21453. , 10156. , 13197. , 44869.5,
        9933.5,  8740. , 10255. ,  9905. , 25744. , 32312.5,  9996. ,
       37841. ])]","[array([10796.5, 10290.0, 9747.0, 22178.0, 10741.0, 13762.0, 45466.0,
       10587.0, 9595.0, None, 10440.0, 26370.0, 33027.5, 10026.0, 38591.0],
      dtype=object)]","[array([ 9571. ,  9077. ,  8423. , 22045. ,  8974. , 11377. , 47238. ,
        9107. ,  8451. ,  9153. ,  8985. , 26959. , 34463.5,  8825. ,
       40362. ])]"
5,"[array([11477. , 10532. ,  9998. , 15151. ,  9154. , 13323. , 45416. ,
        9951. ,  8626.5,  9308. ,  9609. , 25375. , 33553. ,  9922. ,
       38245. ])]","[array([11091.0, 10539.0, 10114.0, 15534.0, 9965.0, 13888.0, 46037.0,
       10660.0, 9534.0, None, 10178.0, 25974.5, 34213.0, 9938.0, 38992.0],
      dtype=object)]","[array([ 9731.5,  9092. ,  8580. , 14185. ,  8536. , 11417. , 47800. ,
        9061. ,  8404. ,  8597. ,  8656. , 26468. , 35632. ,  8708. ,
       40779. ])]"
6,"[array([11185., 10378.,  9982., 13907.,  8678., 13844., 46893.,  9629.,
        8544.,  9242.,  9561., 27856., 33229.,  9935., 38573.])]","[array([10801.0, 10402.0, 10109.0, 14218.0, 9752.0, 14142.0, 47539.0,
       10448.0, 9456.0, None, 10084.0, 28465.0, 33881.0, 9804.0, 39330.0],
      dtype=object)]","[array([ 9353.,  8934.,  8455., 12621.,  8352., 12072., 49380.,  8772.,
        8233.,  8387.,  8473., 29286., 35200.,  8567., 41117.])]"
7,"[array([10108.0, 10109.0, 10149.0, 10094.0, 10208.0, 10188.0, 12771.0,
       12786.0, 13635.0, 13652.0, 10743.0, 10715.0, 50167.0, 44484.0,
       10009.0, 9999.0, 10878.0, 10849.0, None, 8587.0, 9274.0, 9314.0,
       19970.0, 19912.0, 29069.0, 29022.0, 10053.0, 10055.0, 39679.0,
       39679.0, 10761.0], dtype=object)]","[array([10305.0, 10307.0, 10280.0, 10239.0, 10214.0, 10194.0, 12875.0,
       12891.0, 13959.0, 13948.0, 11484.0, 11461.0, 47603.0, 45168.0,
       10755.0, 10748.0, 11613.0, 11593.0, None, None, 9958.0, 9994.0,
       20445.0, 20419.0, 29683.0, 29674.0, 10333.0, 10335.0, 40382.0,
       40431.0, 10478.0], dtype=object)]","[array([9063.0, 9067.0, 9090.0, 9052.0, 9176.0, 9160.0, 10785.0, 10805.0,
       11778.0, 11788.0, 9635.0, 9611.0, 46805.0, 46895.0, 9176.0, 9167.0,
       9692.0, 9652.0, None, 8306.0, 8666.0, 8695.0, 20113.0, 20111.0,
       30334.0, 30374.0, 8942.0, 8943.0, 42155.0, 42206.0, 9223.0],
      dtype=object)]"
8,"[array([9993.0, 9997.0, 10179.0, 10127.5, 10317.0, 10295.0, 12026.0,
       12031.0, 12877.0, 12916.0, 10689.0, 10661.0, 53217.0, 47366.0,
       10120.0, 10116.0, 9524.0, 9510.5, None, 8694.0, 9512.0, 9555.0,
       21022.0, 20965.0, 29098.0, 29051.0, 9997.5, 9987.0, 39421.0,
       39422.0, 10739.0], dtype=object)]","[array([10215.0, 10214.0, 10366.0, 10327.0, 10283.0, 10264.0, 12199.0,
       12203.0, 13237.5, 13267.0, 11438.0, 11416.0, 50454.0, 47951.5,
       10890.0, 10887.0, 10219.5, 10204.0, None, None, 10134.0, 10167.0,
       21515.0, 21492.0, 29674.0, 29663.0, 10257.0, 10255.0, 40130.0,
       40184.0, 10461.0], dtype=object)]","[array([8936.0, 8940.0, 9086.0, 9052.0, 9220.0, 9201.0, 10139.0, 10149.0,
       11011.5, 11060.5, 9573.0, 9553.0, 49442.5, 49533.5, 9193.0, 9185.0,
       8890.0, 8872.0, None, 8342.0, 8753.0, 8778.0, 21329.0, 21334.0,
       30321.0, 30361.0, 8858.0, 8858.0, 41923.0, 41974.5, 9196.0],
      dtype=object)]"
9,"[array([10066.0, 10068.0, 10240.0, 10188.0, 10557.0, 10551.0, 12051.0,
       12090.0, 11026.5, 11053.0, 10977.0, 10944.0, 44510.0, 39214.5,
       10195.0, 10179.5, 10076.0, 10060.0, None, 8849.0, 9946.5, 9992.0,
       21246.0, 21188.0, 27518.0, 27471.0, 9449.0, 9445.0, 38906.0,
       38907.0, 10230.0], dtype=object)]","[array([10363.0, 10364.0, 10431.0, 10395.0, 10565.0, 10563.0, 12386.0,
       12412.0, 11210.0, 11231.0, 11619.0, 11595.0, 42287.0, 40019.0,
       10913.0, 10909.0, 10748.5, 10732.0, None, None, 10515.5, 10547.0,
       21759.0, 21736.0, 28132.0, 28120.0, 9981.0, 9976.0, 39588.0,
       39637.0, 10200.0], dtype=object)]","[array([9043.0, 9045.0, 9145.0, 9110.0, 9373.0, 9352.0, 10190.0, 10218.0,
       9360.0, 9359.0, 9667.0, 9643.0, 41746.5, 41830.0, 9224.0, 9214.0,
       9086.0, 9061.0, None, 8459.0, 9002.0, 9047.0, 21561.0, 21567.0,
       28593.5, 28629.0, 8696.0, 8684.0, 41328.0, 41378.0, 8873.0],
      dtype=object)]"
