,vv_list,vh_list,vv/vh_list
0,"[0.17175054550170898, 0.09492116421461105, 0.07742778211832047, 0.11585190892219543, 0.0055159623734653, 0.029152870178222656, 0.05285000801086426, 0.07073284685611725, 0.1913904994726181, 0.2011188119649887, 0.06405182927846909, 0.1963648796081543, 0.040138911455869675, 0.032873377203941345, 0.020256292074918747, 0.13504481315612793, 0.07959967106580734, 0.1950279027223587, 0.07920091599225998, 0.23955038189888, 0.037034641951322556, 0.02521684393286705, 0.010818126611411572, 0.010472589172422886, 0.016780665144324303]","[0.1305973380804062, 0.06618563830852509, 0.013487165793776512, 0.014184102416038513, 0.003132136771455407, 0.006688644643872976, 0.008955671451985836, 0.003702836111187935, 0.03057665005326271, 0.017008302733302116, 0.019032873213291168, 0.017645779997110367, 0.0364607498049736, 0.027678318321704865, 0.020897982642054558, 0.0674009695649147, 0.025787105783820152, 0.05958447977900505, 0.02981186844408512, 0.0705418586730957, 0.04958639293909073, 0.00591466948390007, 0.0032895200420171022, 0.003681723726913333, 0.003385191783308983]","[1.3151152085195303, 1.434165577917901, 5.740848989492557, 8.167729301728476, 1.7610860495412537, 4.358561671373537, 5.901289288492742, 19.10234337469095, 6.259367822806855, 11.82474319269963, 3.365326325703676, 11.128149599525244, 1.1008800332020143, 1.187694166309324, 0.9692941381889901, 2.003603420364222, 3.0868012770844304, 3.273132591669919, 2.6566907787349363, 3.3958614984757025, 0.7468710619224497, 4.26344092455346, 3.288664143471216, 2.8444799091980886, 4.957079603898072]"
1,"[0.1027693897485733, 0.28665515780448914, 0.007107738871127367, 0.015561006031930447, 0.0395810604095459, 0.014105059206485748, 0.019490279257297516, 0.13444454967975616, 0.15122848749160767, 0.2332594096660614, 0.10875549912452698, 0.17082062363624573, 0.013616864569485188, 0.04701542481780052, 0.08215267211198807, 0.04129001498222351, 0.12392983585596085, 0.10000970214605331, 0.07509302347898483, 0.12717437744140625, 0.1426703780889511, 0.03177788481116295, 0.11591526120901108, 0.1520727276802063, 0.12920214235782623]","[0.07924354076385498, 0.06737715750932693, 0.002023163251578808, 0.0034623979590833187, 0.0013965129619464278, 0.0019778679125010967, 0.006666242145001888, 0.00821762066334486, 0.038435690104961395, 0.03255004808306694, 0.009553269483149052, 0.014195222407579422, 0.022719502449035645, 0.021312888711690903, 0.019893141463398933, 0.034941114485263824, 0.06500501930713654, 0.01364995539188385, 0.029648704454302788, 0.04446306824684143, 0.1108250617980957, 0.010641965083777905, 0.010776721872389317, 0.0019997090566903353, 0.0016997806960716844]","[1.2968803357086873, 4.254485769376777, 3.5131810868849707, 4.494285814577558, 28.342780545608914, 7.131446502233463, 2.9237280664805487, 16.360520299927366, 3.9345849411999145, 7.166177115031873, 11.384112979997065, 12.03367011319509, 0.5993469531311488, 2.2059621036734844, 4.129698281346837, 1.1817028618144763, 1.9064656418362957, 7.326742049685983, 2.532759014638392, 2.86022495648263, 1.2873476068876202, 2.986091813024609, 10.756078015337275, 76.04742658509423, 76.01106581362036]"
2,"[0.00681693572551012, 0.008437363430857658, 0.0698247030377388, 0.025390950962901115, 0.004891323857009411, 0.13085557520389557, 0.1001754179596901, 0.20589561760425568, 0.13762284815311432, 0.09197493642568588, 0.02150522544980049, 0.07355096191167831, 0.04893733933568001, 0.09458219259977341, 0.020914863795042038, 0.0626412034034729, 0.026983799412846565, 0.05561726912856102, 0.1575624942779541, 0.03350559249520302, 0.022808579728007317, 0.07415669411420822]","[0.0027683209627866745, 0.003105444833636284, 0.008809830993413925, 0.00438355328515172, 0.0024520140141248703, 0.007224138826131821, 0.010472496971487999, 0.005181094631552696, 0.012318838387727737, 0.026725521311163902, 0.00882454589009285, 0.020470939576625824, 0.017751790583133698, 0.028164589777588844, 0.018907006829977036, 0.015296051278710365, 0.02389754168689251, 0.040096215903759, 0.14892345666885376, 0.015653224661946297, 0.007738286629319191, 0.007856813259422779]","[2.4624802604709495, 2.7169580793930987, 7.925771003999795, 5.792321733354338, 1.994818883102973, 18.113657330414625, 9.565571442266698, 39.73979096045807, 11.171739073240609, 3.441464634303156, 2.4369781422910384, 3.592945093524698, 2.7567551062807305, 3.358195285167421, 1.106196447862998, 4.095253229875043, 1.1291454061003616, 1.3870952127267182, 1.058009918667884, 2.140491382370346, 2.947497400986554, 9.438520640066267]"
3,"[0.004988600965589285, 0.014424823224544525, 0.10963304340839386, 0.11149279028177261, 0.0043568178080022335, 0.11098498851060867, 0.1186690405011177, 0.043777190148830414, 0.3200746178627014, 0.19992811977863312, 0.06120019033551216, 0.09105564653873444, 0.028662817552685738, 0.04602167010307312, 0.07991838455200195, 0.11159589886665344, 0.02941795438528061, 0.15430057048797607, 0.062096014618873596, 0.3401324152946472, 0.13037970662117004, 0.06496072560548782]","[0.007298311218619347, 0.00430134404450655, 0.003530972171574831, 0.008012074045836926, 0.0025900197215378284, 0.003466880414634943, 0.007891240529716015, 0.0031581195071339607, 0.01709899865090847, 0.05514244735240936, 0.014647966250777245, 0.036826830357313156, 0.0347311832010746, 0.010240803472697735, 0.03737867251038551, 0.016396384686231613, 0.03387116268277168, 0.04811479151248932, 0.03298349678516388, 0.044716671109199524, 0.09531951695680618, 0.008133633993566036]","[0.6835281226240993, 3.353561834461289, 31.048968409030813, 13.915596591335083, 1.6821562290712466, 32.012926676703735, 15.038071650996589, 13.861790236227902, 18.718910060016633, 3.62566642174792, 4.178067404563059, 2.472535530624411, 0.8252761613891374, 4.49395110703649, 2.138074446859956, 6.8061283631850165, 0.8685250831452513, 3.206925887809859, 1.8826389155562382, 7.606389448446042, 1.3678175339500651, 7.986679220736245]"
4,"[0.008063731715083122, 0.012535876594483852, 0.03727199137210846, 0.011507096700370312, 0.007549603004008532, 0.10681281983852386, 0.09222282469272614, 0.4280080497264862, 0.0430932343006134, 0.16086813807487488, 0.07120238244533539, 0.07003732025623322, 0.0214704442769289, 0.1013772040605545, 0.05578301474452019, 0.10735778510570526, 0.03150114789605141, 0.1978401243686676, 0.19978229701519012, 0.03419244661927223, 0.13295802474021912, 0.16591474413871765]","[0.004762368276715279, 0.006714813411235809, 0.0042611053213477135, 0.006158145144581795, 0.0025689692702144384, 0.007771186996251345, 0.005613743327558041, 0.010607413947582245, 0.0257980115711689, 0.021698616445064545, 0.02518279477953911, 0.017050309106707573, 0.014075488783419132, 0.014710783027112484, 0.016681285575032234, 0.03467961773276329, 0.016559116542339325, 0.15061335265636444, 0.08516647666692734, 0.009513490833342075, 0.007536978926509619, 0.00796998105943203]","[1.6932188454448707, 1.8668987247669062, 8.747024201767436, 1.8685978375314454, 2.9387673459318364, 13.74472392570763, 16.42804441022471, 40.34989601061457, 1.6704091391591256, 7.413750940395332, 2.8274217801745722, 4.107686248848158, 1.5253782378215524, 6.8913533612529525, 3.3440477050529958, 3.095702666995659, 1.9023447184218685, 1.3135629801698563, 2.3457856287340286, 3.5941009686410217, 17.640758457287088, 20.8174577707894]"
5,"[0.004809689708054066, 0.011228314600884914, 0.016324101015925407, 0.025721698999404907, 0.009030383080244064, 0.05952264368534088, 0.06408423185348511, 0.2226172685623169, 0.03684379160404205, 0.0871245339512825, 0.01861725002527237, 0.049638137221336365, 0.020181778818368912, 0.0596594363451004, 0.08182434737682343, 0.07025488466024399, 0.04322735220193863, 0.11229395866394043, 0.17338436841964722, 0.17422010004520416, 0.08155935257673264, 0.23943723738193512]","[0.0033674673177301884, 0.004495019558817148, 0.004236767999827862, 0.004063931293785572, 0.0035088229924440384, 0.008272597566246986, 0.010226571932435036, 0.021372543647885323, 0.009926103986799717, 0.019620224833488464, 0.009891767054796219, 0.03779075667262077, 0.026576410979032516, 0.02022930234670639, 0.025947770103812218, 0.05823927000164986, 0.027637062594294548, 0.06160613149404526, 0.06400617212057114, 0.018632439896464348, 0.004308808594942093, 0.03886902332305908]","[1.428281035640754, 2.497945660516684, 3.852960798558866, 6.3292652212742055, 2.573621724347524, 7.195157652561166, 6.2664431714632345, 10.416039954343173, 3.7118079412666813, 4.440547174697784, 1.8820954761814197, 1.3134994266282836, 0.759386917755424, 2.949159359161676, 3.1534250168495936, 1.2063146508919795, 1.564108054336519, 1.822772440674912, 2.708869514849845, 9.350364257891089, 18.92851603398473, 6.16010429158092]"
6,"[0.021178990602493286, 0.005911488085985184, 0.009930199943482876, 0.015912162140011787, 0.007753279060125351, 0.040173497051000595, 0.02736586704850197, 0.2672847509384155, 0.05422018840909004, 0.0907016471028328, 0.04578757286071777, 0.1403636336326599, 0.058238957077264786, 0.1960504949092865, 0.084020234644413, 0.1232052817940712, 0.05519673973321915, 0.13229654729366302, 0.018745077773928642, 0.16332200169563293, 0.08411496877670288, 0.09298528730869293]","[0.004148266743868589, 0.006206247955560684, 0.0035467292182147503, 0.0029680037405341864, 0.0019077392062172294, 0.003638401860371232, 0.011238427832722664, 0.010203726589679718, 0.027411386370658875, 0.009494340978562832, 0.013149023987352848, 0.010774108581244946, 0.021233050152659416, 0.04914788901805878, 0.02675372175872326, 0.07981877774000168, 0.021736573427915573, 0.028191102668642998, 0.0075597986578941345, 0.0065684556029737, 0.005590090993791819, 0.005997973494231701]","[5.105503553694377, 0.9525059469608524, 2.799819025508029, 5.361233856513904, 4.064118950251581, 11.0415227873981, 2.4350262737659287, 26.194817019965374, 1.9780170063608051, 9.553232531634059, 3.482203158558211, 13.027865143015008, 2.742844605864147, 3.988991161700764, 3.1405064088706665, 1.5435626212593092, 2.5393487118043994, 4.69284755721232, 2.479573679433189, 24.864597032777855, 15.04715555974283, 15.50278396497044]"
7,"[0.01004107017070055, 0.012805338017642498, 0.010960254818201065, 0.010320935398340225, 0.012164176441729069, 0.03455866873264313, 0.021133452653884888, 0.21622174978256226, 0.04005765542387962, 0.06805572658777237, 0.011977532878518105, 0.049811650067567825, 0.03427184000611305, 0.121954545378685, 0.06210313364863396, 0.13047434389591217, 0.0509282648563385, 0.18061497807502747, 0.15564490854740143, 0.224928617477417, 0.12118705362081528, 0.17775876820087433]","[0.002090037101879716, 0.0030826020520180464, 0.002579944673925638, 0.005164490547031164, 0.004337843041867018, 0.005549565423280001, 0.005409788340330124, 0.01574150286614895, 0.00945823360234499, 0.014486913569271564, 0.007846098393201828, 0.020069332793354988, 0.02676926553249359, 0.022986454889178276, 0.01790820248425007, 0.062155019491910934, 0.03645937889814377, 0.07998113334178925, 0.04175538942217827, 0.019095901399850845, 0.007531432900577784, 0.012719699181616306]","[4.8042545090084365, 4.154067830214865, 4.248251882674664, 1.9984421124118954, 2.804199304660313, 6.227274767799325, 3.9065211657791497, 13.735775524173915, 4.2352152746521385, 4.697738152599082, 1.5265590970533731, 2.4819783786763754, 1.2802682226941393, 5.305496039587192, 3.467859697434877, 2.0991763008439333, 1.3968494910079605, 2.258219789199438, 3.7275405810185314, 11.778894997812142, 16.09083626191747, 13.975076427734066]"
8,"[0.01279494259506464, 0.02019459195435047, 0.09268565475940704, 0.06930119544267654, 0.006463457830250263, 0.5283482074737549, 0.23447205126285553, 0.11888544261455536, 0.08291393518447876, 0.06711581349372864, 0.028567802160978317, 0.033410344272851944, 0.02811044082045555, 0.06701578199863434, 0.08176444470882416, 0.14860112965106964, 0.260832279920578, 0.1792062669992447, 0.5282773971557617, 0.1640460193157196, 0.295034259557724, 0.07044834643602371]","[0.0026883832179009914, 0.004694337956607342, 0.0050338259898126125, 0.004744700621813536, 0.0026252190582454205, 0.005115384701639414, 0.0036070309579372406, 0.016615523025393486, 0.01974981091916561, 0.018389321863651276, 0.01172036211937666, 0.017310142517089844, 0.019074229523539543, 0.04106749966740608, 0.05751749873161316, 0.11964619904756546, 0.10451743006706238, 0.05307839438319206, 0.07013855129480362, 0.052943624556064606, 0.02415572479367256, 0.011016576550900936]","[4.759344765235719, 4.301904153689302, 18.412566295891633, 14.606020688442932, 2.462064188491055, 103.28611400515511, 65.00416935621298, 7.155082776080107, 4.198214125889044, 3.6497166122471967, 2.437450470386804, 1.930102206834334, 1.4737392556676747, 1.6318447078925176, 1.4215577261165606, 1.2420046005138292, 2.4955864275768938, 3.3762563672421972, 7.5319120141978235, 3.0985037517029688, 12.21384421613407, 6.394758490582308]"
9,"[0.018463047221302986, 0.014168613590300083, 0.08383384346961975, 0.08519332110881805, 0.004604507703334093, 0.036258209496736526, 0.04619266837835312, 0.114572674036026, 0.04550197347998619, 0.06285160779953003, 0.025133324787020683, 0.019168589264154434, 0.00865081138908863, 0.13531328737735748, 0.046187758445739746, 0.24087992310523987, 0.09367575496435165, 0.26631784439086914, 0.3399154543876648, 0.01423665788024664, 0.021093199029564857, 0.017059016972780228]","[0.003424713620916009, 0.006694599986076355, 0.0027428199537098408, 0.005186978727579117, 0.002142065204679966, 0.002813556930050254, 0.006289671175181866, 0.01028574351221323, 0.007800420746207237, 0.018892591819167137, 0.006283803377300501, 0.019006934016942978, 0.02952876128256321, 0.02881092019379139, 0.021702906116843224, 0.09678991138935089, 0.022646630182862282, 0.020896395668387413, 0.10694971680641174, 0.0019675232470035553, 0.005004783160984516, 0.0019507970428094268]","[5.39112149656609, 2.1164242254605834, 30.564836512957797, 16.424459320769135, 2.1495646786447975, 12.886964933774738, 7.344210387440081, 11.138978324705754, 5.833271686288256, 3.326785885235983, 3.999699430095451, 1.0085050669964633, 0.2929622176260049, 4.696597209224745, 2.1281831196742025, 2.488688331744275, 4.136410327185909, 12.74467848987763, 3.178273533935029, 7.235827023608689, 4.214607976225589, 8.74463954908031]"
