,min_vv,max_vv,range_vv,mean_vv,median_vv,correlation_vv,permutation_entropy_vv,min_vh,max_vh,range_vh,mean_vh,median_vh,correlation_vh,permutation_entropy_vh,min_vv_by_vh,max_vv_by_vh,range_vv_by_vh,mean_vv_by_vh,median_vv_by_vh,correlation_vv_by_vh,permutation_entropy_vv_by_vh
0,"<xarray.DataArray 'vv' ()>
array(0.01740759)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray 'vv' ()>
array(0.3572956)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-21T22:46:07.705465","<xarray.DataArray 'vv' ()>
array(0.33988801)
Coordinates:
    spatial_ref  int32 32648",0.11127715278416872,0.07366110011935234,0.6217806148542718,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00269764)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray 'vh' ()>
array(0.05166338)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-02T11:11:59.338449","<xarray.DataArray 'vh' ()>
array(0.04896575)
Coordinates:
    spatial_ref  int32 32648",0.021944099072633044,0.01992932613939047,0.0426020191489933,0.33396271194589644,"<xarray.DataArray ()>
array(1.13042558)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-02T11:11:59.338449","<xarray.DataArray ()>
array(24.87285424)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray ()>
array(23.74242865)
Coordinates:
    spatial_ref  int32 32648",6.721198816402245,5.936863431076749,0.3423355525555733,0.33396271194589644
1,"<xarray.DataArray 'vv' ()>
array(0.05383496)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-27T11:11:57.147850","<xarray.DataArray 'vv' ()>
array(0.29410011)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray 'vv' ()>
array(0.24026515)
Coordinates:
    spatial_ref  int32 32648",0.16643636460815156,0.1503830850124359,0.18690517190651976,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.0167373)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-03T11:11:55.667800","<xarray.DataArray 'vh' ()>
array(0.07251173)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray 'vh' ()>
array(0.05577443)
Coordinates:
    spatial_ref  int32 32648",0.03823186417243311,0.03519972786307335,0.2014326123638667,0.33396271194589644,"<xarray.DataArray ()>
array(1.58025016)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-09T11:11:57.770925","<xarray.DataArray ()>
array(7.80515654)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-26T22:46:10.363160","<xarray.DataArray ()>
array(6.22490638)
Coordinates:
    spatial_ref  int32 32648",4.583482980044935,4.311531695635251,-0.21212554496856903,0.31055082177366533
2,"<xarray.DataArray 'vv' ()>
array(0.01693593)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-02T22:46:08.840031","<xarray.DataArray 'vv' ()>
array(0.62787843)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vv' ()>
array(0.6109425)
Coordinates:
    spatial_ref  int32 32648",0.2144481394706028,0.12630348280072212,0.20043165660346077,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00821887)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-14T11:12:00.071377","<xarray.DataArray 'vh' ()>
array(0.11418553)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray 'vh' ()>
array(0.10596666)
Coordinates:
    spatial_ref  int32 32648",0.03638993616082838,0.02415046002715826,0.026165887791265576,0.33396271194589644,"<xarray.DataArray ()>
array(0.99461616)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-02T22:46:08.840031","<xarray.DataArray ()>
array(46.36349004)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-14T11:12:00.071377","<xarray.DataArray ()>
array(45.36887388)
Coordinates:
    spatial_ref  int32 32648",9.063072994031547,3.653329427999185,0.17153125056398894,0.33396271194589644
3,"<xarray.DataArray 'vv' ()>
array(0.02362505)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray 'vv' ()>
array(0.3354944)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray 'vv' ()>
array(0.31186935)
Coordinates:
    spatial_ref  int32 32648",0.11667492440236467,0.105402372777462,0.21943233792179045,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00177238)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray 'vh' ()>
array(0.08256546)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-02T11:11:59.338449","<xarray.DataArray 'vh' ()>
array(0.08079309)
Coordinates:
    spatial_ref  int32 32648",0.025339082656760832,0.0245377691462636,0.19248928919311772,0.33396271194589644,"<xarray.DataArray ()>
array(1.66403641)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-09T11:11:57.770925","<xarray.DataArray ()>
array(28.34908658)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray ()>
array(26.68505017)
Coordinates:
    spatial_ref  int32 32648",7.416280166268003,3.919573752263142,0.5024445842780553,0.33396271194589644
4,"<xarray.DataArray 'vv' ()>
array(0.05338999)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-14T11:12:00.071377","<xarray.DataArray 'vv' ()>
array(0.85967129)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vv' ()>
array(0.80628131)
Coordinates:
    spatial_ref  int32 32648",0.16989234876301554,0.11300870776176453,-0.00204790600082772,0.38985429721536513,"<xarray.DataArray 'vh' ()>
array(0.00748244)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-14T11:12:00.071377","<xarray.DataArray 'vh' ()>
array(0.09816139)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vh' ()>
array(0.09067895)
Coordinates:
    spatial_ref  int32 32648",0.03323761404802402,0.02243825700134039,-0.03925678942304969,0.38985429721536513,"<xarray.DataArray ()>
array(1.33884743)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-15T11:11:56.125679","<xarray.DataArray ()>
array(29.23296258)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray ()>
array(27.89411515)
Coordinates:
    spatial_ref  int32 32648",6.989110175684375,4.185501847300239,0.5205910921830614,0.38985429721536513
5,"<xarray.DataArray 'vv' ()>
array(0.03019337)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-09T11:11:57.770925","<xarray.DataArray 'vv' ()>
array(0.444998)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray 'vv' ()>
array(0.41480462)
Coordinates:
    spatial_ref  int32 32648",0.12575312876807793,0.09368240833282471,0.021487066798834616,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00175376)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray 'vh' ()>
array(0.07069435)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vh' ()>
array(0.06894059)
Coordinates:
    spatial_ref  int32 32648",0.03065063964874883,0.025594386272132397,0.26846332233730824,0.33396271194589644,"<xarray.DataArray ()>
array(0.73954937)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-09T11:11:57.770925","<xarray.DataArray ()>
array(18.40282861)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray ()>
array(17.66327924)
Coordinates:
    spatial_ref  int32 32648",5.540485062142501,3.8021489371316357,0.25578838933405224,0.33396271194589644
6,"<xarray.DataArray 'vv' ()>
array(0.01735257)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-03T11:11:55.667800","<xarray.DataArray 'vv' ()>
array(0.40742123)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-02T11:11:59.338449","<xarray.DataArray 'vv' ()>
array(0.39006867)
Coordinates:
    spatial_ref  int32 32648",0.09004801458546094,0.053751444444060326,0.268469119901446,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00388713)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-15T11:11:56.125679","<xarray.DataArray 'vh' ()>
array(0.06806808)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vh' ()>
array(0.06418095)
Coordinates:
    spatial_ref  int32 32648",0.02111978519574872,0.01530107343569398,0.16192304971106639,0.33396271194589644,"<xarray.DataArray ()>
array(0.74372165)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-03T11:11:55.667800","<xarray.DataArray ()>
array(11.32043503)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-02T11:11:59.338449","<xarray.DataArray ()>
array(10.57671338)
Coordinates:
    spatial_ref  int32 32648",5.013300306646883,3.9188119634321734,0.04795582147035115,0.33396271194589644
7,"<xarray.DataArray 'vv' ()>
array(0.01683284)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-02T22:46:08.840031","<xarray.DataArray 'vv' ()>
array(0.31861332)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray 'vv' ()>
array(0.30178048)
Coordinates:
    spatial_ref  int32 32648",0.10545347537845373,0.07162106037139893,-0.07479600945726159,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00249017)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray 'vh' ()>
array(0.08487567)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vh' ()>
array(0.0823855)
Coordinates:
    spatial_ref  int32 32648",0.023554696518528675,0.02283712849020958,0.0437932833985194,0.33396271194589644,"<xarray.DataArray ()>
array(0.80728409)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-03T11:11:55.667800","<xarray.DataArray ()>
array(88.59848951)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray ()>
array(87.79120542)
Coordinates:
    spatial_ref  int32 32648",11.613800482141594,3.5607635235672896,0.15967071915081127,0.33396271194589644
8,"<xarray.DataArray 'vv' ()>
array(0.00955171)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray 'vv' ()>
array(1.28769875)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vv' ()>
array(1.27814704)
Coordinates:
    spatial_ref  int32 32648",0.173873694746622,0.07733772695064545,-0.09534436937922237,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00308315)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray 'vh' ()>
array(0.10541716)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-07-21T11:11:58.504828","<xarray.DataArray 'vh' ()>
array(0.10233401)
Coordinates:
    spatial_ref  int32 32648",0.029299701929890683,0.0153296641074121,0.18960981831766083,0.33396271194589644,"<xarray.DataArray ()>
array(1.1976595)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-27T11:11:57.147850","<xarray.DataArray ()>
array(22.80180028)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray ()>
array(21.60414077)
Coordinates:
    spatial_ref  int32 32648",5.251627076454463,3.0892442657515007,0.05673042715129079,0.33396271194589644
9,"<xarray.DataArray 'vv' ()>
array(0.01212841)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-26T11:12:00.463421","<xarray.DataArray 'vv' ()>
array(0.29366618)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray 'vv' ()>
array(0.28153778)
Coordinates:
    spatial_ref  int32 32648",0.09181339506592069,0.06236029975116253,-0.16284763781008366,0.33396271194589644,"<xarray.DataArray 'vh' ()>
array(0.00420801)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-25T22:46:14.709082","<xarray.DataArray 'vh' ()>
array(0.09270154)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-08-02T11:11:59.338449","<xarray.DataArray 'vh' ()>
array(0.08849353)
Coordinates:
    spatial_ref  int32 32648",0.0280762240623257,0.02346664108335972,-0.16983514318248377,0.33396271194589644,"<xarray.DataArray ()>
array(1.06962623)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-06-26T22:46:10.363160","<xarray.DataArray ()>
array(22.09004272)
Coordinates:
    spatial_ref  int32 32648
    time         datetime64[ns] 2022-05-10T11:11:53.723854","<xarray.DataArray ()>
array(21.02041649)
Coordinates:
    spatial_ref  int32 32648",4.371803591543166,2.6105622340535053,-0.14109276457751105,0.33396271194589644
