,red,green,blue
0,"[array([26764. , 17151. , 10981. , 10429. , 10716.5,  9692. , 12034. ,
       11705. , 10010. ,  9601. , 13691. , 13662. , 30433. , 29155. ,
        8653. ,  9352. ,  8926. , 10341.5,  9600. ,  9246. , 11268. ,
        9643. , 16667. , 28642. , 10124. , 37231. , 26374. , 12193. ,
       21845. ])]","[array([27084.0, 16998.0, 11015.0, 10372.0, 10818.0, 9987.0, 12444.0,
       12527.5, 10856.0, 10676.0, 14435.0, 14389.0, 30960.0, 29738.5,
       9616.0, 9996.0, 9809.0, 11099.0, 10362.0, None, 12340.0, 10382.0,
       16867.0, 29091.0, 9893.0, 37861.0, 26681.0, 12148.0, 22068.0],
      dtype=object)]","[array([28189. , 15791. ,  9582.5,  9149. ,  9284. ,  8732. , 10171. ,
       10648. ,  9165. ,  9122. , 12462. , 11837. , 31782. , 30010. ,
        8635. ,  8803. ,  8558. ,  9197. ,  8934. ,  8551. ,  9865. ,
        8847. , 15676. , 29833. ,  8815. , 39564. , 27806. , 10326. ,
       21319.5])]"
1,"[array([28181. , 17441.5, 11129. , 10194. , 10930. ,  9366. , 12163. ,
       13715. , 10650. ,  9805. , 13795.5, 12976. , 30269. , 22640.5,
        8599. ,  9426. ,  8988. ,  9579.5,  9864. ,  9342.5, 11420. ,
        9896. , 17282. , 28541. , 10005. , 37215. , 26082.5, 12075. ,
       10662. ])]","[array([28551.5, 17221.0, 11142.0, 10228.0, 11074.0, 10027.0, 12837.0,
       14476.5, 11420.0, 10791.0, 14511.0, 13753.0, 30788.0, 23388.5,
       9508.0, 10078.0, 9875.0, 10441.0, 10635.0, None, 12465.0, 10482.0,
       17528.0, 28979.0, 9827.0, 37879.0, 26374.0, 12065.0, 11084.0],
      dtype=object)]","[array([29797. , 16071. ,  9727. ,  9066. ,  9443. ,  8665. , 10457. ,
       13163. ,  9556. ,  9194. , 12606. , 11319. , 31503. , 22729. ,
        8588. ,  8864. ,  8584. ,  8838. ,  9084. ,  8635. ,  9990. ,
        9014. , 16444. , 29704.5,  8794. , 39589. , 27467. , 10308. ,
        9129. ])]"
2,"[array([    0. , 12371. , 10417.5, 10707. , 10146. ,  8809.5, 10571. ,
           0. , 11114.5,  8910. , 10779. , 18665. , 12810. , 27156.5,
        8408.5,  9519. ,     0. ,  9748. ,  9809. , 11324.5, 14437. ,
        9874. , 20303. , 35921. , 10208. , 36530. , 27142. , 12473. ,
        8925. ])]","[array([0.0, 12182.0, 10765.0, 10641.0, 10402.0, 9547.0, 11443.0, 0.0,
       11781.5, 10127.0, 11703.0, 19106.0, 13638.0, 27896.0, 9197.0,
       10141.0, 0.0, 10450.5, 10559.0, None, 15266.0, 10583.0, 20773.5,
       36569.0, 9938.0, 37143.0, 27480.0, 12544.0, 10008.0], dtype=object)]","[array([    0. , 10514.5,  9278.5,  9498. ,  9067. ,  8352. ,  9567. ,
           0. , 10177. ,  8937.5,  9658.5, 18209.5, 11309.5, 27940.5,
        8214. ,  8973. ,     0. ,  8922. ,  9120. ,  9971. , 13513. ,
        9008. , 20388. , 37924. ,  8983. , 38740. , 28716. , 10514. ,
        8109. ])]"
3,"[array([26488., 11797., 10844., 10480., 13081.,  9468., 11194., 13313.,
       12005.,  9318., 13246., 14315., 23317., 17454.,  8635.,  9338.,
        8940., 18326.,  9636.,  9501., 11186.,  9843., 18681., 29607.,
       10161., 36272., 26643., 12127., 36066.])]","[array([26791.0, 11513.0, 10880.0, 10418.0, 13285.0, 9915.0, 12074.0,
       14120.0, 12730.0, 10429.0, 14130.0, 14935.0, 24030.0, 18381.0,
       9550.0, 9950.0, 9804.0, 18941.0, 10463.0, None, 12262.0, 10489.0,
       18931.0, 30099.0, 9913.0, 36890.0, 26969.0, 12105.0, 36202.0],
      dtype=object)]","[array([27850., 10020.,  9513.,  9260., 11342.,  8634.,  9871., 12828.,
       10792.,  9064., 11773., 12739., 23819., 16746.,  8599.,  8804.,
        8579., 17667.,  8970.,  8712.,  9764.,  8961., 18227., 31004.,
        8798., 38539., 28130., 10337., 37268.])]"
4,"[array([23921.0, 0.0, 12042.5, 11265.0, 0.0, 10522.5, 0.0, 10438.0,
       10220.0, 0.0, 12842.0, 23475.5, 0.0, 11751.0, 9898.0, 14203.0, 0.0,
       12202.0, 35589.0, 0.0, 37239.0, 8849.0, 0.0, 9529.0, 9010.0, 0.0,
       9089.0, 9681.0, None, 8998.0, 11480.0, 0.0, 9165.0, 0.0, 16004.0,
       0.0, 28845.5, 0.0, 9920.0, 0.0, 37692.0, 24957.0, 12403.0, 0.0,
       13218.5], dtype=object)]","[array([24204.5, 0.0, 11759.0, 11416.0, 0.0, 10415.0, 0.0, 10578.0,
       10260.0, 0.0, 13116.5, 24262.0, 0.0, 12524.0, 10753.0, 14880.5,
       0.0, 12938.0, 36045.0, 0.0, 37847.0, 9885.0, 0.0, 10191.0, 9923.5,
       0.0, 9935.0, 10389.0, None, None, 12471.0, 0.0, 9965.0, 0.0,
       16198.0, 0.0, 29318.0, 0.0, 9880.0, 0.0, 38322.5, 25160.5, 12358.0,
       0.0, 13375.5], dtype=object)]","[array([24993.0, 0.0, 10236.0, 9836.0, 0.0, 9162.0, 0.0, 9002.0, 8928.0,
       0.0, 10963.0, 24699.5, 0.0, 10359.5, 9118.0, 13131.0, 0.0, 10609.5,
       37308.5, 0.0, 39124.5, 8762.0, 0.0, 8895.0, 8647.0, 0.0, 8653.5,
       8937.0, None, 8431.0, 9956.0, 0.0, 8573.5, 0.0, 14817.0, 0.0,
       30035.5, 0.0, 8771.0, 0.0, 40047.0, 26040.0, 10343.0, 0.0, 11024.0],
      dtype=object)]"
5,"[array([25847. , 13912.5, 11053. , 10883. , 10933. ,  9750. , 11114. ,
       17276.5, 10053. ,  9167. , 12902. , 16286. , 24254. , 22700.5,
        8709. ,  9365. ,  8756. , 11238.5,  9570. ,  9316. , 11391. ,
       10266. , 17916. , 28917. , 10388. , 37133. , 26151. , 12249.5,
       36370. ])]","[array([26140.5, 13662.0, 11093.0, 10759.0, 10993.0, 9968.0, 11728.0,
       18109.0, 10916.0, 10385.0, 13867.0, 16839.0, 24999.5, 23474.5,
       9629.0, 9969.0, 9613.0, 11871.5, 10360.0, None, 12099.0, 10943.0,
       18184.0, 29439.0, 10072.5, 37757.0, 26434.0, 12218.0, 36601.5],
      dtype=object)]","[array([27133. , 11887.5,  9615. ,  9400. ,  9419. ,  8684. ,  9715. ,
       17820. ,  9081. ,  9007. , 11385. , 15274. , 24971.5, 23057.5,
        8592. ,  8784. ,  8443. ,  9936.5,  8905. ,  8539. ,  9678. ,
        9177. , 17214. , 30242. ,  8896. , 39419. , 27486. , 10379. ,
       37670. ])]"
6,"[array([25953. , 11541. , 10865. , 10455. , 12571.5,  9325. , 11030. ,
       17081.5, 16084.5,  9226. , 13215. , 15253. , 21112. , 10100. ,
        8624. ,  9345. ,  8850. , 22588.5,  9617. ,  9558.5, 11357. ,
        9739.5, 20801. , 29894. , 10335. , 35528. , 27011.5, 12133. ,
       37459.5])]","[array([26242.0, 11216.0, 10887.0, 10395.0, 12899.5, 9883.0, 11965.0,
       17888.0, 16859.0, 10411.0, 14134.5, 15763.0, 21816.0, 11120.0,
       9507.0, 9950.0, 9707.0, 23110.0, 10448.0, None, 12332.0, 10433.0,
       21143.5, 30401.0, 9935.0, 36137.0, 27355.0, 12104.0, 37598.0],
      dtype=object)]","[array([27217. ,  9903. ,  9541. ,  9297. , 10944.5,  8576.5,  9823. ,
       17509.5, 15818. ,  9137. , 11712. , 14109. , 21272.5,  9181. ,
        8613. ,  8830. ,  8541. , 22492.5,  8968. ,  8750. ,  9854. ,
        8918. , 20869. , 31350. ,  8852. , 37755. , 28586. , 10381. ,
       38755. ])]"
7,"[array([25346., 12140., 10907., 10570., 10617.,  9465., 10785., 21556.,
       19577.,  9132., 13082., 16865., 18397.,  9452.,  8663.,  9393.,
        8807., 15344.,  9648.,  9844., 12155.,  9636., 21172., 30279.,
       10608., 35549., 26733., 12293., 37085.])]","[array([25619.0, 11812.0, 10928.0, 10474.0, 10719.0, 9892.0, 11684.0,
       22351.0, 20302.0, 10376.0, 14040.0, 17482.0, 19170.0, 10634.0,
       9551.0, 10004.0, 9667.0, 16017.0, 10461.0, None, 12805.0, 10374.0,
       21561.0, 30813.0, 10202.0, 36154.0, 27065.0, 12252.0, 37355.0],
      dtype=object)]","[array([26520., 10220.,  9563.,  9365.,  9311.,  8627.,  9677., 22772.,
       20081.,  9134., 11569., 16073., 18131.,  8861.,  8624.,  8875.,
        8537., 14249.,  8986.,  8908., 10624.,  8868., 21354., 31795.,
        9066., 37762., 28250., 10490., 38579.])]"
8,"[array([25801. , 18234. , 10960. , 10909. , 10959.5,  9755. , 11028. ,
       19705.5, 12508.5,  9113. , 12616. , 17001. , 20586. , 18421.5,
        8681. ,  9410. ,  8703. , 12166.5,  9674. ,  9596. , 11940. ,
       10234. , 18009. , 29694. , 10575. , 36777. , 26193. , 12317. ,
       36941.5])]","[array([26087.5, 18134.5, 10989.0, 10765.5, 10992.0, 9961.0, 11664.0,
       20485.0, 13355.5, 10364.0, 13606.5, 17572.5, 21348.0, 19310.0,
       9570.0, 10013.0, 9554.0, 12791.5, 10470.0, None, 12481.5, 10888.0,
       18280.0, 30233.0, 10220.0, 37394.5, 26488.0, 12293.0, 37180.0],
      dtype=object)]","[array([27055. , 17374.5,  9583. ,  9487. ,  9524.5,  8729. ,  9700. ,
       20671. , 11177.5,  9040. , 11101. , 16178. , 20750.5, 17948.5,
        8561. ,  8833. ,  8425. , 10747.5,  8985. ,  8704. , 10356. ,
        9175. , 17357. , 31196. ,  9060. , 39028. , 27586. , 10459. ,
       38344.5])]"
9,"[array([24773., 20808., 10889., 10825., 10498.,  9597., 10940., 20111.,
       16295.,  9154., 12378., 17843., 18091., 18553.,  8641.,  9462.,
        8618., 10661.,  9846., 10098., 12768., 10068., 17807., 31099.,
       10548., 36727., 26271., 12424., 34042.])]","[array([25010.0, 20807.0, 10941.0, 10717.0, 10604.0, 9895.0, 11591.0,
       20909.0, 17088.0, 10385.0, 13373.0, 18426.0, 18865.0, 19467.0,
       9497.0, 10077.0, 9462.0, 11230.0, 10619.0, None, 13343.0, 10710.0,
       18077.0, 31690.0, 10300.0, 37336.0, 26576.0, 12429.0, 34468.0],
      dtype=object)]","[array([25829., 20489.,  9552.,  9485.,  9217.,  8643.,  9673., 21121.,
       15735.,  9090., 10870., 17240., 17766., 18052.,  8512.,  8907.,
        8356.,  9497.,  9120.,  9008., 11490.,  9093., 17129., 32721.,
        9125., 38964., 27680., 10519., 35583.])]"
