,vv_list,vh_list,vv/vh_list
0,"[0.1190083771944046, 0.09371589869260788, 0.18416911363601685, 0.10557778924703598, 0.0421035997569561, 0.130476713180542, 0.35729560256004333, 0.26930686831474304, 0.16536206007003784, 0.1704433113336563, 0.06611107289791107, 0.024128912016749382, 0.04230842366814613, 0.09075655788183212, 0.07227015495300293, 0.05840161070227623, 0.07505204528570175, 0.01740759052336216, 0.01855921559035778]","[0.02803662233054638, 0.01622411236166954, 0.05944128707051277, 0.03364741802215576, 0.010896125808358192, 0.00524574751034379, 0.02901931293308735, 0.028946969658136368, 0.040449030697345734, 0.023644253611564636, 0.04615694284439087, 0.011637985706329346, 0.02031790465116501, 0.011992296203970909, 0.01954074762761593, 0.05166338384151459, 0.012822557240724564, 0.0026976359076797962, 0.003082618582993746]","[4.244747309120148, 5.776334421476113, 3.098336572314535, 3.137767931480399, 3.8640889888275063, 24.872854235409235, 12.31233845487295, 9.303456337407901, 4.088158782032048, 7.208656874255943, 1.4323104786378869, 2.073289366872724, 2.082322187968345, 7.567904956498711, 3.6984334647906336, 1.1304255811317392, 5.853126164828942, 6.452905847599803, 6.020600697324556]"
1,"[0.1675187051296234, 0.4485529661178589, 0.18889622390270233, 0.10250265896320343, 0.07147949934005737, 0.2941001057624817, 0.2624836564064026, 0.2858196198940277, 0.11907738447189331, 0.10929913073778152, 0.0919758677482605, 0.2519395053386688, 0.053834959864616394, 0.060614898800849915, 0.1760823130607605, 0.1373152881860733, 0.0957946851849556, 0.22832080721855164, 0.16345088183879852]","[0.13666899502277374, 0.08618361502885818, 0.04159320518374443, 0.09707789868116379, 0.029642535373568535, 0.054993245750665665, 0.05291072651743889, 0.04916319251060486, 0.0329040065407753, 0.016737302765250206, 0.03006599470973015, 0.032278597354888916, 0.019253462553024292, 0.03835778683423996, 0.05191802978515625, 0.0374954491853714, 0.01680940017104149, 0.029847171157598495, 0.07251173257827759]","[1.2257257405142188, 5.204619996128765, 4.541516410390207, 1.0558804872760623, 2.4113827794836253, 5.347931400446968, 4.960877948252901, 5.813691204703078, 3.6189326769167227, 6.530271470305665, 3.059132705777224, 7.805156542854241, 2.796118345796461, 1.5802501604900263, 3.3915445903747243, 3.662185443017601, 5.69887587957996, 7.649663213072228, 2.2541301390413016]"
2,"[0.12164942175149918, 0.1858033984899521, 0.11167377978563309, 0.06206314265727997, 0.25381800532341003, 0.4241330027580261, 0.03778503090143204, 0.19820965826511383, 0.01693592593073845, 0.05767732113599777, 0.028530770912766457, 0.06015326827764511, 0.04671482741832733, 0.10347700864076614, 0.6278784275054932, 0.1491299569606781, 0.3810555636882782, 0.46576350927352905, 0.4048296809196472]","[0.07517421990633011, 0.07559332996606827, 0.012113265693187714, 0.016955388709902763, 0.021761247888207436, 0.11418552696704865, 0.031229600310325623, 0.05517719313502312, 0.01702759973704815, 0.010781434364616871, 0.0172085203230381, 0.020087826997041702, 0.02821309305727482, 0.019455479457974434, 0.09035500138998032, 0.050941359251737595, 0.008218871429562569, 0.03312578797340393, 0.013451811857521534]","[1.6182332440972305, 2.457933769730134, 9.21913071290399, 3.6603786394488322, 11.663761500596467, 3.7144199796916584, 1.209910806605455, 3.5922388763067112, 0.9946161638912477, 5.349689028881585, 1.6579444587441121, 2.9945134576529244, 1.6557853945149694, 5.318656312957267, 6.949016854036816, 2.9274828773947825, 46.363490042885246, 14.060450717352952, 30.09480694552594]"
3,"[0.17528970539569855, 0.22219955921173096, 0.03361516818404198, 0.10286737233400345, 0.1203911304473877, 0.33549439907073975, 0.12846091389656067, 0.08849494904279709, 0.02730671316385269, 0.057067982852458954, 0.03316112980246544, 0.1289220005273819, 0.06067891791462898, 0.04922129958868027, 0.12230979651212692, 0.14652657508850098, 0.27111661434173584, 0.1610625982284546, 0.023625051602721214]","[0.07094193249940872, 0.059086792171001434, 0.005619386676698923, 0.019709637388586998, 0.003392654936760664, 0.023823164403438568, 0.027058769017457962, 0.012360463850200176, 0.013311849907040596, 0.03311888501048088, 0.012565004639327526, 0.02525237388908863, 0.03133407235145569, 0.029579460620880127, 0.039561085402965546, 0.08256546407938004, 0.016762783750891685, 0.005681403446942568, 0.0017723768251016736]","[2.470889912636078, 3.7605622347659255, 5.981999481087324, 5.2191407840699044, 35.4858164745567, 14.082696714392629, 4.747478121184278, 7.159516836527452, 2.051308672689455, 1.7231251243633077, 2.6391657428182382, 5.105341822262823, 1.9365155359963935, 1.6640364143061817, 3.091669383342006, 1.7746714891304614, 16.17372259707842, 28.34908658266999, 13.329587290990418]"
4,"[0.10949602723121643, 0.07966845482587814, 0.021431200206279755, 0.15010547637939453, 0.22650188207626343, 0.05629454925656319, 0.13732333481311798, 0.2205643355846405, 0.15404938161373138, 0.1880827248096466, 0.05578575283288956, 0.05651408061385155, 0.09006191790103912, 0.11811483651399612, 0.06773822009563446, 0.06171359494328499, 0.10790257900953293, 0.15137752890586853, 0.8596712946891785, 0.09305369108915329, 0.0664931982755661, 0.05338998883962631, 0.29725027084350586, 0.27897554636001587]","[0.016767827793955803, 0.018410302698612213, 0.00407970417290926, 0.012049300596117973, 0.01903231255710125, 0.00561819551512599, 0.03822758048772812, 0.08936841040849686, 0.024604249745607376, 0.031918954104185104, 0.012315995059907436, 0.01584426872432232, 0.032166074961423874, 0.08822128176689148, 0.020272264257073402, 0.019527457654476166, 0.041580889374017715, 0.028519419953227043, 0.09816139191389084, 0.01022174023091793, 0.01730932481586933, 0.0074824383482337, 0.012992126867175102, 0.00954318419098854]","[6.530125939788444, 4.327384298351793, 5.25312603511569, 12.457609068841332, 11.900912272048206, 10.02004097312031, 3.592258078096304, 2.468034673286188, 6.261088356950774, 5.892509015042753, 4.5295367984102475, 3.566846889380105, 2.799903874160853, 1.338847431689928, 3.3414234955031836, 3.160349700163797, 2.5950041144852727, 5.307875446069154, 8.757733340245414, 9.103507718547931, 3.841466896190231, 7.135373036816204, 22.87926171614867, 29.232962581131726]"
5,"[0.29858261346817017, 0.24797312915325165, 0.22518350183963776, 0.03644387796521187, 0.15611876547336578, 0.44499799609184265, 0.13176947832107544, 0.21198895573616028, 0.04876783490180969, 0.06397587060928345, 0.07327121496200562, 0.08097593486309052, 0.1063888818025589, 0.030193371698260307, 0.2282182276248932, 0.11583057045936584, 0.14615243673324585, 0.03227410465478897, 0.04573892429471016]","[0.13563871383666992, 0.07359825074672699, 0.017208892852067947, 0.019275672733783722, 0.007520281244069338, 0.05404840037226677, 0.029304899275302887, 0.022160690277814865, 0.026877200230956078, 0.02427631989121437, 0.035220637917518616, 0.04604906961321831, 0.024311572313308716, 0.040826715528964996, 0.07069434970617294, 0.023915797472000122, 0.011331173591315746, 0.001753757824189961, 0.018338371068239212]","[2.2013082034065143, 3.369280202142295, 13.085298617137827, 1.8906669805271232, 20.75969773025238, 8.233324076695142, 4.496499956651481, 9.565990638314325, 1.8144685637918812, 2.635319970076535, 2.0803488890120523, 1.7584705954590343, 4.3760592869725325, 0.7395493687666171, 3.228238587290739, 4.843266071097011, 12.898261204404955, 18.40282860588005, 2.4941650555826524]"
6,"[0.2322937250137329, 0.1540420651435852, 0.11236785352230072, 0.03498019278049469, 0.29111582040786743, 0.1413809359073639, 0.084376759827137, 0.08109939098358154, 0.03177175670862198, 0.017352566123008728, 0.03973693400621414, 0.05954495444893837, 0.023255333304405212, 0.04795793443918228, 0.16779619455337524, 0.4074212312698364, 0.07960917800664902, 0.03725173696875572, 0.042117297649383545]","[0.049224790185689926, 0.0474773608148098, 0.007173640187829733, 0.0057510752230882645, 0.059719886630773544, 0.03813958540558815, 0.02876928821206093, 0.02032841183245182, 0.014891683124005795, 0.02333207055926323, 0.0038871322758495808, 0.015473602339625359, 0.0151285445317626, 0.010092816315591335, 0.06806807965040207, 0.03598989173769951, 0.008053231053054333, 0.008393052965402603, 0.005129602737724781]","[4.7190394136258345, 3.244537238378555, 15.663993534682113, 6.082374412364356, 4.874688095235867, 3.7069342627581103, 2.932876170073745, 3.9894602515931075, 2.133523554325773, 0.7437216546612689, 10.222686336942095, 3.8481636752712394, 1.537182460320641, 4.751690007980933, 2.4651230858161, 11.320435033236334, 9.885371161237924, 4.438401273328412, 8.21063536551069]"
7,"[0.047889068722724915, 0.05558092147111893, 0.08472345769405365, 0.042352549731731415, 0.3919470012187958, 0.31861332058906555, 0.029617775231599808, 0.10071396827697754, 0.016832835972309113, 0.024534793570637703, 0.03697286918759346, 0.044470056891441345, 0.07637137919664383, 0.06687074154615402, 0.2730526626110077, 0.08759235590696335, 0.14337779581546783, 0.22062543034553528, 0.03670267015695572]","[0.004704743158072233, 0.00841147918254137, 0.011735395528376102, 0.006265518721193075, 0.0038234153762459755, 0.026301274076104164, 0.035247065126895905, 0.025794746354222298, 0.013056537136435509, 0.030391771346330643, 0.02683873102068901, 0.01987951062619686, 0.018530016764998436, 0.028246261179447174, 0.0848756730556488, 0.0065590995363891125, 0.007172928191721439, 0.0024901714641600847, 0.004381965380162001]","[10.178891198461818, 6.607746421875611, 7.219480373643388, 6.759623842232599, 102.51227309851679, 12.113988077807205, 0.8402905355373669, 3.9044372405891807, 1.2892266759871178, 0.8072840931530606, 1.3775937900749633, 2.2369794572729322, 4.121495418228796, 2.367419217762214, 3.2170898065453986, 13.354326370717697, 19.988739881844324, 88.59848951001874, 8.375846674443336]"
8,"[0.03565637394785881, 0.12011919170618057, 0.12062648683786392, 0.045117948204278946, 0.29140040278434753, 0.29234859347343445, 0.09864575415849686, 0.1796860545873642, 0.02901989035308361, 0.04002955183386803, 0.12635256350040436, 0.10198374837636948, 0.04483330249786377, 0.1205279752612114, 1.287698745727539, 0.02125721238553524, 0.05602969974279404, 0.026266928762197495, 0.009551705792546272]","[0.013527861796319485, 0.01229006890207529, 0.013825638219714165, 0.011391137726604939, 0.011679248884320259, 0.012821294367313385, 0.017542149871587753, 0.030604317784309387, 0.011686052195727825, 0.011728310957551003, 0.04867575690150261, 0.050548139959573746, 0.03743409737944603, 0.049855656921863556, 0.1054171621799469, 0.006900669541209936, 0.013117178343236446, 0.010781887918710709, 0.0030831526964902878]","[2.6357730796421808, 9.773679274157475, 8.724840395856805, 3.96079384580719, 24.950269120093953, 22.801800278351624, 5.623356024239026, 5.871264827850139, 2.4832928919907333, 3.4130704735532205, 2.59580069306542, 2.0175568964146207, 1.197659503938792, 2.4175386044979663, 12.215266652022368, 3.0804565062259286, 4.271475028902415, 2.436208664033161, 3.0980320252770723]"
9,"[0.18444214761257172, 0.18882712721824646, 0.06119314208626747, 0.1151602491736412, 0.06752005219459534, 0.29366618394851685, 0.05000627413392067, 0.17648139595985413, 0.04774215444922447, 0.08267968893051147, 0.03557721525430679, 0.0684407651424408, 0.09356609731912613, 0.05627983435988426, 0.07671933621168137, 0.2644508481025696, 0.012586171738803387, 0.015063158236443996, 0.012128407135605812]","[0.04642709344625473, 0.06650364398956299, 0.008242369629442692, 0.006005371920764446, 0.005365530028939247, 0.013294052332639694, 0.03332860767841339, 0.038895875215530396, 0.026759423315525055, 0.02017385885119438, 0.016119711101055145, 0.0639856830239296, 0.01121892686933279, 0.03255707398056984, 0.029498713091015816, 0.09270153939723969, 0.00480323052033782, 0.00420801155269146, 0.005522429943084717]","[3.9727265680779045, 2.8393500850552007, 7.424217165374206, 19.176206019057354, 12.584041433077935, 22.090042719893965, 1.5004009353294778, 4.537277924251166, 1.7841249374580443, 4.098357658808368, 2.20706283327733, 1.0696262336817608, 8.34002203676818, 1.7286514873379666, 2.600768920832928, 2.8527125851638657, 2.620355547274083, 3.579638042298041, 2.1962084192291504]"
10,"[0.32361727952957153, 0.22046971321105957, 0.00872202031314373, 0.043119002133607864, 0.09148892760276794, 0.13467037677764893, 0.16319909691810608, 0.2630322575569153, 0.1965741515159607, 0.5544877648353577, 0.16080844402313232, 0.10726246982812881, 0.16315734386444092, 0.10412032157182693, 0.07722511887550354, 0.24097321927547455, 0.02372855134308338, 0.03843177855014801, 0.01660708151757717]","[0.07527363300323486, 0.037119023501873016, 0.0049852048978209496, 0.0059087867848575115, 0.010709823109209538, 0.01159477699548006, 0.018055353313684464, 0.03640977665781975, 0.022390590980648994, 0.020793551579117775, 0.04149952530860901, 0.011500117368996143, 0.031277742236852646, 0.05543425679206848, 0.028205111622810364, 0.0870252251625061, 0.002514901105314493, 0.00315689854323864, 0.006226374767720699]","[4.2992116444766815, 5.939534298361451, 1.7495811088840412, 7.29743747804697, 8.542524621540691, 11.614744882988855, 9.038820458551463, 7.224220572098008, 8.779319477804286, 26.666332719813486, 3.8749465886004453, 9.327076097266985, 5.216404132655158, 1.8782667541188076, 2.737983097115246, 2.7690042608392504, 9.43518267694112, 12.173903603098097, 2.6672152154529813]"
11,"[0.22139915823936462, 0.10269459336996078, 0.07255254685878754, 0.00954725407063961, 0.052007850259542465, 0.425798624753952, 0.20419500768184662, 0.2700318694114685, 0.07052227109670639, 0.05386568233370781, 0.019575215876102448, 0.1109783947467804, 0.09198149293661118, 0.061583347618579865, 0.04789431393146515, 0.16759520769119263, 0.06815044581890106, 0.1674119085073471, 0.08249429613351822]","[0.08196466416120529, 0.03330200910568237, 0.008578330278396606, 0.003502465784549713, 0.006734122987836599, 0.028953831642866135, 0.019752955064177513, 0.03690004348754883, 0.02552364207804203, 0.017592180520296097, 0.016853980720043182, 0.016830047592520714, 0.01305972971022129, 0.02451288513839245, 0.02812924049794674, 0.05708707496523857, 0.020509203895926476, 0.00748594943434, 0.0016419135499745607]","[2.701153728927924, 3.083735670243326, 8.457653704649442, 2.7258664774842423, 7.7230324354753845, 14.706123528174329, 10.337441006594474, 7.317928216062544, 2.7630175537282216, 3.061910504588273, 1.1614594914555172, 6.594063037355835, 7.043139098401187, 2.512284754360763, 1.7026522253582046, 2.935782010082748, 3.322920097958413, 22.363483747216495, 50.24277687141102]"
12,"[0.14003649353981018, 0.06735292077064514, 0.21426910161972046, 0.18074743449687958, 0.10523327440023422, 0.047610968351364136, 0.08081086724996567, 0.07632830739021301, 0.40021494030952454, 0.2676762342453003, 0.1450771987438202, 0.1778733879327774, 0.1027553379535675, 0.04793316870927811, 0.02513742260634899, 0.055187154561281204, 0.07863301038742065, 0.07274970412254333, 0.030218590050935745, 0.07912299036979675, 0.06903903931379318, 0.27771633863449097, 0.037668969482183456, 0.021452492102980614]","[0.07898728549480438, 0.03360366076231003, 0.048391252756118774, 0.027042565867304802, 0.0037821161095052958, 0.0059777614660561085, 0.011586963199079037, 0.011165277101099491, 0.016814174130558968, 0.020260319113731384, 0.009376566857099533, 0.0596245601773262, 0.017389068379998207, 0.0326923206448555, 0.009437866508960724, 0.02931508794426918, 0.01878366433084011, 0.016730649396777153, 0.018606357276439667, 0.014990738593041897, 0.03772079199552536, 0.032557062804698944, 0.004910796880722046, 0.004241920541971922]","[1.772899178172435, 2.004332838825358, 4.427847790996224, 6.683812304786069, 27.82391427268975, 7.964681866567683, 6.974292216306403, 6.836221501631755, 23.802235970790427, 13.211846898496448, 15.472315289254722, 2.983223480454593, 5.909191666171256, 1.4661904619738557, 2.663464521614331, 1.882551219569845, 4.186244441044254, 4.348289322024596, 1.6241002793813966, 5.278124882153738, 1.8302648396667536, 8.530141072627973, 7.6706429520752035, 5.057259298168771]"
13,"[0.03933534398674965, 0.014697111211717129, 0.3211342692375183, 0.29957377910614014, 0.011523536406457424, 0.012585693039000034, 0.020300686359405518, 0.014695975929498672, 0.38347288966178894, 0.24351166188716888, 0.04215912148356438, 0.040796201676130295, 0.02786487527191639, 0.027349652722477913, 0.017676377668976784, 0.02925974689424038, 0.05599123612046242, 0.09430517256259918, 0.052057720720767975, 0.0982780009508133, 0.5494375228881836, 0.074453204870224, 0.01349139679223299, 0.008962676860392094]","[0.01736881025135517, 0.01631515473127365, 0.05886704847216606, 0.12271540611982346, 0.0030029863119125366, 0.01067193504422903, 0.008448311127722263, 0.004769021645188332, 0.024956149980425835, 0.009406142868101597, 0.031259141862392426, 0.01870128884911537, 0.01594645529985428, 0.030285878106951714, 0.007264856714755297, 0.014367345720529556, 0.019992399960756302, 0.011912149377167225, 0.015070074237883091, 0.019627060741186142, 0.020073609426617622, 0.008635471574962139, 0.00485612079501152, 0.004090889822691679]","[2.264711480953658, 0.9008257325040883, 5.4552466544905736, 2.441207575955265, 3.8373589519022264, 1.1793262409150336, 2.4029283548508182, 3.081549429394196, 15.365867329798986, 25.888577847671566, 1.3486973400983093, 2.1814647110838075, 1.74740246330299, 0.9030496862562545, 2.433135072447493, 2.0365450559480176, 2.8006260494172457, 7.916721791900957, 3.4543771914477692, 5.007270433752882, 27.3711374577025, 8.621787961886774, 2.7782251228371644, 2.1908868849699132]"
14,"[0.138236403465271, 0.09405998140573502, 0.2502022981643677, 0.1579315960407257, 0.025547614321112633, 0.013105439022183418, 0.01452556625008583, 0.013768387958407402, 0.18062075972557068, 0.17205436527729034, 0.07116007059812546, 0.10440236330032349, 0.059558022767305374, 0.13168363273143768, 0.0802123099565506, 0.0376528725028038, 0.03613893315196037, 0.05881422013044357, 0.22547005116939545, 0.13583140075206757, 0.08585537225008011, 0.32318320870399475, 0.29114028811454773, 0.2446192502975464]","[0.0622083842754364, 0.023871170356869698, 0.04689465090632439, 0.022837713360786438, 0.004398048389703035, 0.0030428613536059856, 0.007989976555109024, 0.00347801367752254, 0.008984657935798168, 0.00677569629624486, 0.03065858781337738, 0.03704464063048363, 0.030236823484301567, 0.03356918692588806, 0.021814141422510147, 0.024312233552336693, 0.00782102346420288, 0.027658363804221153, 0.03632713854312897, 0.01825987547636032, 0.01807725802063942, 0.06732474267482758, 0.0719253271818161, 0.028933130204677582]","[2.2221506807379825, 3.940317127294357, 5.335412319502403, 6.915385684448716, 5.808852485781235, 4.306945831315197, 1.8179735760047706, 3.958692873288211, 20.10324277409732, 25.39286853406404, 2.321048543764821, 2.8182852235422127, 1.9697182410125476, 3.9227531194651966, 3.677078478723853, 1.5487212403479447, 4.620742197919445, 2.126453341447027, 6.206655966081908, 7.438791186058098, 4.749358124559383, 4.800363074017831, 4.0478131907358605, 8.45464174000776]"
15,"[0.10952272266149521, 0.26014652848243713, 0.016824571415781975, 0.0445084273815155, 0.019620059058070183, 0.20354042947292328, 0.2525612413883209, 0.27658402919769287, 0.026466630399227142, 0.07583662867546082, 0.051906030625104904, 0.05847799405455589, 0.0783446803689003, 0.029006484895944595, 0.1059848889708519, 0.09151758998632431, 0.010780616663396358, 0.03947044536471367, 0.007422846741974354]","[0.14349541068077087, 0.07945913821458817, 0.00440002279356122, 0.004478301852941513, 0.004068344831466675, 0.010034333914518356, 0.04078076034784317, 0.02249823324382305, 0.05783557519316673, 0.03260602429509163, 0.03426229953765869, 0.05991451069712639, 0.06065279617905617, 0.026100248098373413, 0.02511405013501644, 0.0331854447722435, 0.0032618676777929068, 0.0058265626430511475, 0.006234028842300177]","[0.7632489578718759, 3.2739661457173463, 3.823746422496319, 9.938684091221036, 4.82261456952187, 20.28439866630581, 6.193146945620363, 12.293588843187486, 0.4576185213137497, 2.325847149873986, 1.5149605054399071, 0.9760238942810995, 1.2916911553032944, 1.1113490104238626, 4.2201432425699235, 2.757762947413324, 3.3050441428975743, 6.774224835939378, 1.190698171238415]"
