,vv_list,vh_list,vv/vh_list
0,"[0.09378605335950851, 0.16279998421669006, 0.011751458048820496, 0.03509842976927757, 0.021695474162697792, 0.12410864233970642, 0.09987731277942657, 0.21884171664714813, 0.07088412344455719, 0.049020737409591675, 0.08987307548522949, 0.06510929763317108, 0.05824212357401848, 0.09752862900495529, 0.09088058769702911, 0.27684441208839417, 0.022796180099248886, 0.016440609470009804, 0.02209959365427494]","[0.057271428406238556, 0.05567394569516182, 0.0012122892076149583, 0.005864114500582218, 0.003599371761083603, 0.010625465773046017, 0.01910371705889702, 0.023213714361190796, 0.0419369637966156, 0.016049949452280998, 0.028807679191231728, 0.016026712954044342, 0.015125541016459465, 0.018560733646154404, 0.027370063588023186, 0.10819493234157562, 0.005922505632042885, 0.003313034772872925, 0.005045924335718155]","[1.6375714028688768, 2.924168247533383, 9.693609392052709, 5.985290663371738, 6.0275724773054, 11.680301361897666, 5.228161224933528, 9.4272598190065, 1.690254062939046, 3.054261171060879, 3.1197610501225106, 4.062548435219884, 3.8505811799154803, 5.254567565283835, 3.3204375797211294, 2.5587558132056087, 3.8490769811873804, 4.962401724432611, 4.379691843145651]"
1,"[0.010389294475317001, 0.1534598469734192, 0.012972614727914333, 0.015421122312545776, 0.16202965378761292, 0.29876506328582764, 0.05579829961061478, 0.07555687427520752, 0.012273652479052544, 0.08602556586265564, 0.06526704132556915, 0.08292761445045471, 0.036398645490407944, 0.02196117676794529, 0.1910790354013443, 0.18461033701896667, 0.33690905570983887, 0.41314661502838135, 0.1683599203824997]","[0.00197904696688056, 0.00789811834692955, 0.003626486286520958, 0.004302395973354578, 0.0053937677294015884, 0.011336779221892357, 0.03703013062477112, 0.029738692566752434, 0.006726864259690046, 0.00682372972369194, 0.04542432725429535, 0.014704708941280842, 0.010022244416177273, 0.029932783916592598, 0.026250334456562996, 0.026176709681749344, 0.00866199005395174, 0.028881479054689407, 0.011702479794621468]","[5.249645232873354, 19.429924981192237, 3.5771856565765514, 3.5843103257002, 30.040161519077742, 26.353610442451327, 1.506835073740971, 2.5406925373605485, 1.8245726396771498, 12.606824910426258, 1.4368301144052158, 5.639527771790862, 3.6317858534417256, 0.733683069010216, 7.279108604026626, 7.0524653122343635, 38.89510997027011, 14.304898106016488, 14.386687551460586]"
2,"[0.09219416230916977, 0.05780475214123726, 0.27768704295158386, 0.2441570907831192, 0.20067691802978516, 0.05544586107134819, 0.15824022889137268, 0.4502545893192291, 0.14655154943466187, 0.12290629744529724, 0.06482013314962387, 0.018229784443974495, 0.04381782189011574, 0.03877639025449753, 0.10704672336578369, 0.045643117278814316, 0.0647498220205307, 0.09221053868532181, 0.06662224233150482]","[0.02802559733390808, 0.013485568575561047, 0.06006874516606331, 0.01645973138511181, 0.013791350647807121, 0.008034063503146172, 0.016639424487948418, 0.03434805944561958, 0.03845042362809181, 0.022691577672958374, 0.03597954288125038, 0.009399414993822575, 0.023598048835992813, 0.02494819089770317, 0.0173494815826416, 0.035180460661649704, 0.01545717567205429, 0.0036856895312666893, 0.014463729225099087]","[3.2896412950893414, 4.2864156462778125, 4.622820772831244, 14.833601173100838, 14.550925660184964, 6.901347126474089, 9.509958052093852, 13.108588857314622, 3.8114417373438654, 5.4163839648648615, 1.8015830096441516, 1.939459472313475, 1.856840885221104, 1.5542766372718206, 6.170024323544366, 1.2973996479975027, 4.188981441001202, 25.018531241732425, 4.606159400156249]"
3,"[0.027767976745963097, 0.01924200728535652, 0.01747438684105873, 0.021864451467990875, 0.2418573796749115, 0.18759655952453613, 0.06549421697854996, 0.13073740899562836, 0.03321876376867294, 0.03818085789680481, 0.04647218808531761, 0.11110839247703552, 0.030032392591238022, 0.07874125242233276, 0.10272091627120972, 0.25058773159980774, 0.07119973748922348, 0.17564472556114197, 0.15835946798324585]","[0.007791508454829454, 0.002916899975389242, 0.0030455091036856174, 0.006792659871280193, 0.011687634512782097, 0.029662450775504112, 0.012100420892238617, 0.04496816545724869, 0.006419743876904249, 0.016874687746167183, 0.010235367342829704, 0.037480391561985016, 0.028290940448641777, 0.022198386490345, 0.0911208838224411, 0.010850590653717518, 0.04476006701588631, 0.015349607914686203, 0.04424922540783882]","[3.5638768676111128, 6.5967319578000945, 5.737755575877793, 3.218835019317719, 20.693441381179905, 6.324378283653399, 5.412556931846799, 2.9073325021435585, 5.174468702432379, 2.2626112240492855, 4.540353709715489, 2.964440547353531, 1.0615551167610566, 3.5471610721157862, 1.1273037745262933, 23.09438625020417, 1.5906977410009946, 11.442945418370494, 3.5788076858672473]"
4,"[0.08366712927818298, 0.22344210743904114, 0.21558837592601776, 0.06738592684268951, 0.2647048532962799, 0.19471532106399536, 0.13145111501216888, 0.038633283227682114, 0.034377321600914, 0.05110178887844086, 0.026629090309143066, 0.10539073497056961, 0.07334085553884506, 0.03520821034908295, 0.23549440503120422, 0.3188962936401367, 0.3761427104473114, 0.18431037664413452, 0.4029856026172638]","[0.05577324330806732, 0.02284380979835987, 0.02079682983458042, 0.013499782420694828, 0.02399015799164772, 0.011000871658325195, 0.0483243465423584, 0.013817976228892803, 0.012946849688887596, 0.031845223158597946, 0.04891042038798332, 0.04223794490098953, 0.03792038559913635, 0.010764679871499538, 0.07099094241857529, 0.056196823716163635, 0.032147251069545746, 0.035794395953416824, 0.010590413585305214]","[1.5001302473309983, 9.781297840042589, 10.366405728220322, 4.9916305865336446, 11.033893707095972, 17.699990247285495, 2.7201840152550485, 2.795871304721277, 2.655265367792165, 1.604692440807839, 0.5444461547847481, 2.4951672061133015, 1.934074624507917, 3.2707159682750864, 3.317245792324986, 5.674631990783031, 11.700618184540357, 5.149140577312656, 38.05192303126184]"
5,"[0.04009793698787689, 0.09104140102863312, 0.021911343559622765, 0.019492538645863533, 0.44550392031669617, 0.30866268277168274, 0.07022728025913239, 0.1475219577550888, 0.03869180381298065, 0.21671776473522186, 0.14608269929885864, 0.07530246675014496, 0.08268479257822037, 0.08209551870822906, 0.24745327234268188, 0.15298959612846375, 0.27859142422676086, 0.25171613693237305, 0.22648747265338898]","[0.013892265036702156, 0.0107382507994771, 0.006385787855833769, 0.006893509533256292, 0.009559820406138897, 0.028788860887289047, 0.020594654604792595, 0.031792812049388885, 0.013499772176146507, 0.031157951802015305, 0.0398513488471508, 0.020863650366663933, 0.06310047209262848, 0.036416154354810715, 0.05427632853388786, 0.031778834760189056, 0.058377932757139206, 0.01335371658205986, 0.012958385050296783]","[2.886349841580306, 8.478233813747988, 3.431267065911929, 2.8276654368614222, 46.601703943163315, 10.721601107460438, 3.409976113063326, 4.640104106737058, 2.8661079096836417, 6.955456061819972, 3.6656902093617068, 3.6092661364026544, 1.3103672577416385, 2.2543709011213573, 4.559138007799891, 4.814197791799512, 4.77220434279066, 18.849893614676738, 17.478063182587846]"
6,"[0.08950994908809662, 0.13441292941570282, 0.15102644264698029, 0.2538575530052185, 0.20990446209907532, 0.014165018685162067, 0.28095918893814087, 0.20860505104064941, 0.08990579098463058, 0.11580498516559601, 0.06997312605381012, 0.033960629254579544, 0.03983309119939804, 0.040655650198459625, 0.10238197445869446, 0.14499233663082123, 0.16362805664539337, 0.16956043243408203, 0.05521487072110176]","[0.031217848882079124, 0.03992252051830292, 0.058309406042099, 0.02788359858095646, 0.005337189882993698, 0.00794854573905468, 0.065294049680233, 0.03447052091360092, 0.031785231083631516, 0.023805133998394012, 0.019031202420592308, 0.01174664031714201, 0.019806748256087303, 0.030791709199547768, 0.025002505630254745, 0.09292981773614883, 0.03505232185125351, 0.00783760566264391, 0.007790589705109596]","[2.8672683190378496, 3.3668447700860904, 2.5900871385645776, 9.104189054657907, 39.32864797782634, 1.7820893469308654, 4.302983048441517, 6.051694187143566, 2.8285397940973125, 4.864706292911801, 3.676758015988374, 2.891092971070239, 2.0110868621332605, 1.3203440554399861, 4.094868569284722, 1.5602348112044189, 4.668108929838034, 21.63421327029142, 7.087380135663942]"
7,"[0.09503579884767532, 0.11454140394926071, 0.1022074744105339, 0.046992119401693344, 0.0516374297440052, 0.1525166779756546, 0.11250054091215134, 0.05084281787276268, 0.053597673773765564, 0.03209368884563446, 0.015907952561974525, 0.12295783311128616, 0.04680993780493736, 0.04775100573897362, 0.08954025059938431, 0.21102789044380188, 0.01668138988316059, 0.01072067953646183, 0.0091558787971735]","[0.09092895686626434, 0.07505808770656586, 0.007320284377783537, 0.00946009624749422, 0.002352060517296195, 0.013105051591992378, 0.043069254606962204, 0.017945194616913795, 0.013324303552508354, 0.022832583636045456, 0.019745441153645515, 0.0673922523856163, 0.023679327219724655, 0.01730525493621826, 0.06106265261769295, 0.11666227877140045, 0.008183939382433891, 0.0018040768336504698, 0.0025582327507436275]","[1.0451653920043447, 1.526036799619143, 13.962227303726781, 4.967403943077277, 21.954124634244053, 11.638006680480935, 2.6120846979776955, 2.8332274437883247, 4.022549738719784, 1.4056091661466046, 0.8056519192551699, 1.8245099215222158, 1.9768271864559195, 2.759335584189244, 1.4663668668308059, 1.8088785223997783, 2.038308093894944, 5.942473921561871, 3.578985842672864]"
8,"[0.22118479013442993, 0.07763116806745529, 0.004084184765815735, 0.02700456604361534, 0.32930755615234375, 0.15791700780391693, 0.0653197318315506, 0.029820555821061134, 0.047839708626270294, 0.03071010485291481, 0.04715839773416519, 0.06817691028118134, 0.03271026909351349, 0.05876685306429863, 0.4040845036506653, 0.027511734515428543, 0.05193440616130829, 0.27396899461746216, 0.1952986717224121]","[0.037299782037734985, 0.015592730604112148, 0.004779944196343422, 0.005095190834254026, 0.029462626203894615, 0.034319065511226654, 0.030345113947987556, 0.01579393446445465, 0.01034065056592226, 0.004429143853485584, 0.012821625918149948, 0.04163121432065964, 0.015986714512109756, 0.01830674149096012, 0.11227144300937653, 0.007449634373188019, 0.003079883987084031, 0.0029627750627696514, 0.012967881746590137]","[5.929921786423964, 4.978676925706793, 0.85444193447699, 5.300010720318586, 11.177128402382987, 4.601436707309475, 2.152561758163459, 1.88810178288218, 4.626373197826318, 6.933643581873506, 3.678035690263669, 1.6376392424217205, 2.0460907754833446, 3.2101208777825225, 3.599174401071139, 3.693031515002405, 16.862455332442142, 92.47039981541879, 15.06018296116598]"
9,"[0.11082012951374054, 0.08668843656778336, 0.04225299879908562, 0.042329687625169754, 0.4286455512046814, 0.31231585144996643, 0.10572196543216705, 0.12945124506950378, 0.020526280626654625, 0.03633132949471474, 0.12354584038257599, 0.0637410581111908, 0.03165370598435402, 0.02973378263413906, 0.4851328730583191, 0.4752598702907562, 0.17733387649059296, 0.7091118097305298, 0.3688954710960388]","[0.0153545206412673, 0.008278120309114456, 0.0036161309108138084, 0.0021358150988817215, 0.025740183889865875, 0.04175471141934395, 0.029701996594667435, 0.030286366119980812, 0.017278311774134636, 0.015427939593791962, 0.058716099709272385, 0.00843285396695137, 0.043831661343574524, 0.029541388154029846, 0.06942401826381683, 0.04892226308584213, 0.04735209420323372, 0.038762107491493225, 0.03696734085679054]","[7.217426847953614, 10.47199525142644, 11.68458771023215, 19.818985101909288, 16.652777347618045, 7.4797751159951265, 3.5594228521037508, 4.274241569842906, 1.1879795257186034, 2.3549048318373034, 2.1041220550122093, 7.558657882727969, 0.7221653255676624, 1.0065127095282749, 6.9879687922236835, 9.714592913595082, 3.745005991276362, 18.29394363776924, 9.978956087891735]"
